	ZAM1_s11_OZA	ZAM1_s12_OZA	ZAM1_s13_OZA	ZAM1_s14_OZA	ZAM1_s15_OZA	ZAM1_s17_OZA	ZAM1_s18_OZA	ZAM1_s19_OZA	ZAM1_s30_OZS	ZAM1_s31_OZS	ZAM1_s32_OZS	ZAM1_s33_OZS	ZAM1_s34_OZS	ZAM1_s36_OZS	ZAM1_s37_OZS	ZAM1_s38_OZS	ZAM1_s49_OZA	ZAM1_s50_OZA	ZAM1_s51_OZA	ZAM1_s52_OZA	ZAM1_s53_OZA	ZAM1_s54_OZA	ZAM1_s55_OZA	ZAM1_s56_OZA	ZAM1_s67_OZS	ZAM1_s69_OZS	ZAM1_s70_OZS	ZAM1_s71_OZS	ZAM1_s72_OZS	ZAM1_s73_OZS	ZAM1_s74_OZS	ZAM1_s75_OZS	ZAM2_s11_OZD	ZAM2_s12_OZD	ZAM2_s14_OZD	ZAM2_s15_OZD	ZAM2_s16_OZD	ZAM2_s17_OZD	ZAM2_s18_OZD	ZAM2_s19_OZD	ZAM2_s20_OZD	ZAM2_s31_OZA	ZAM2_s32_OZA	ZAM2_s34_OZA	ZAM2_s35_OZA	ZAM2_s36_OZA	ZAM2_s37_OZA	ZAM2_s38_OZA	ZAM2_s39_OZA	ZAM2_s50_OZD	ZAM2_s51_OZD	ZAM2_s53_OZD	ZAM2_s54_OZD	ZAM2_s55_OZD	ZAM2_s56_OZD	ZAM2_s57_OZD	ZAM2_s58_OZD	ZAM2_s59_OZD	ZAM2_s70_OZA	ZAM2_s71_OZA	ZAM2_s72_OZA	ZAM2_s73_OZA	ZAM2_s74_OZA	ZAM2_s75_OZA	ZAM2_s76_OZA	ZAM2_s77_OZA	ZAM2_s78_OZA
ZAM1_s32_OZS	0.6028806774697257	0.3279181551363182	1.1543912062600332	0.9710515618923452	1.705187883674846	0.546921650376592	2.3252392114171716	2.0493559140022235	1.6017175201342864	0.6065799067856339	0.0	0.8615249430846147	1.3003523128086703	0.9703041550900257	0.08340875807648587	0.9538096168351338	0.32034391838606335	0.8155101206836118	0.837655891578368	1.6173764084304902	2.207226360417675	0.5942023859517788	2.055589521277039	1.6022450966670458	1.9744348724723702	0.13997618056709157	0.715960479003974	1.160492026801922	2.6028785124699088	0.5976634746093151	0.6972772384606597	0.9754797227851506	1.5717281003949006	1.136610788620468	1.9592774536866617	1.7707549364371444	0.5774999231902201	1.018400015841099	0.5920553865219998	0.5824882582714364	0.7296803966075546	1.1708747276196927	1.1870920727423355	1.5693294506849187	1.1614166849573675	0.22850498665009988	0.6945050854910575	0.7650253416067758	0.8626769899947663	1.4533736696923645	1.5385118750183628	1.9381244938243603	0.9096434107939383	0.6091918166092484	0.8693672240407039	0.4485966244004314	0.6819548592390899	0.6103229349121251	1.4405845072972416	1.4460435118584845	1.408013080039101	1.653463801788354	1.643425266407539	0.06953257548846087	0.5264574305997571	0.8548059907094302	0.3935566817506017
ZAM1_s33_OZS	1.4470634048767264	1.1890671058105184	0.3662701492760784	0.11069270808925705	2.5202142633319857	1.3620058547482319	3.119847600179962	2.834173024634848	2.4046803019466654	1.4445820838547574	0.8615249430846147	0.0	2.11250856986017	0.13090821451904272	0.9375395829141989	0.10587155662171889	1.1815922017674048	0.1487761761717679	0.20633701717655434	2.4416693937617486	3.0003125163341	1.264178156327344	2.8377613000889435	2.410420572160037	2.75927440283187	0.8592383349978069	0.1585596515126433	1.9844922800348035	3.386906485645701	0.2748918830465882	1.5396040402132847	0.13281942033246516	2.392145204084288	1.9293769710739708	2.7547768474234045	2.5835421239290843	0.28440556586999854	0.16368115207052808	1.4371185559736686	1.443164334940082	1.544439336129616	1.9656684362570318	1.9475361531312743	2.3496786111955235	1.9291279824626162	0.7155723310179284	1.5442156801732485	1.6005075875913402	0.1954860496048861	2.2686914880614335	2.313452230983689	2.722527817105504	1.6670619882957105	0.25957196218670286	0.12400114454743259	1.273458441276177	1.5283544910766627	1.4519759228247473	2.2114941384550946	2.2359333528966183	2.2216363411497806	2.4507020717976338	2.460061873156251	0.7947339452882662	1.3579682444182972	1.6836925635200115	0.5275684967052643
ZAM1_s34_OZS	0.7061075341975737	1.0034192843005156	2.4404294702482554	2.2225708260759207	0.40789445459170376	0.7573431260474949	1.0258547677329826	0.7570531650660717	0.3028906965613538	0.6968264434617136	1.3003523128086703	2.11250856986017	0.0	2.235186125263329	1.2489469051672013	2.2145137261319654	1.028080979399192	2.097828343389095	2.1282670902173	0.3341682453017917	0.9087267635416008	0.8866749850476395	0.7653690591870873	0.3018927852614068	0.6833951048641596	1.3770154912222488	1.986917792868755	0.15141781730237566	1.306314023646409	1.8757909665513575	0.6140589263641509	2.2392082975378536	0.2815123260326689	0.19957655291351575	0.6611383126917045	0.4721043197530449	1.8433253311347992	2.2759880822597616	0.7175286882067854	0.7851935952947191	0.5727719677919066	0.16478879872761262	0.27473552016724695	0.30785740398135647	0.2620481021927096	1.397777532921704	0.6319514271851313	0.5410160872952456	2.151578523403184	0.15632551498898276	0.2963587252276162	0.6482309991460893	0.47678128833433253	1.8535712978639713	2.1471902904691635	0.8531037273358094	0.6354293897035908	0.6961597144871682	0.2425976341033892	0.1818450269777348	0.10912816483881466	0.35805427632207376	0.34756145877912664	1.3539381693795904	0.7739225897883018	0.4482725821081441	1.6938700770648496
ZAM1_s36_OZS	1.5630710830538757	1.2981551777025968	0.23712160070228067	0.06032851531069665	2.6430548825223905	1.4821502113748903	3.2454492701761937	2.960422325397338	2.528811383628271	1.5618168905569574	0.9703041550900257	0.13090821451904272	2.235186125263329	0.0	1.0433788031097426	0.02715911596841798	1.2886653689778034	0.17398109205603943	0.19729357479386617	2.5631104642171776	3.1259741561625733	1.392498729762448	2.964224394092586	2.5339808319774426	2.885459055319678	0.9555896247785903	0.25434388441634	2.105361830461856	3.5135822560922563	0.3732417725605299	1.6562673143353521	0.0072593903735161	2.5141105507286605	2.0537450240393094	2.880018919258473	2.7067330705104946	0.39526399550322505	0.05648865253620986	1.5529011138093345	1.5527750127956224	1.6654263512139136	2.089925712008053	2.0743556806674315	2.475786415254157	2.0554449805799524	0.8374099009133503	1.6590749958515743	1.7186689627527474	0.17256164995713955	2.3912002967554327	2.4399145459352636	2.84871550219765	1.7933527415731965	0.3823772413889664	0.11654240387696903	1.3919084670553956	1.6440576003807645	1.5685325851176792	2.3380958174526474	2.3611010149897056	2.3442969239747606	2.5754704735751828	2.5826261379039304	0.9053005737461085	1.4759374676954182	1.803179341676628	0.6138468383385203
ZAM1_s37_OZS	0.5452560571024544	0.2578408249297263	1.2211236139390105	1.0464018831117488	1.6511835639274115	0.5046662163750893	2.2747895763744337	2.001898033768858	1.551399985458847	0.5522402080403179	0.08340875807648587	0.9375395829141989	1.2489469051672013	1.0433788031097426	0.0	1.0277488919861066	0.24546826978704153	0.8850456326528438	0.9037618894391943	1.5609332561386444	2.15740958052173	0.5942521880475126	2.0087179678448543	1.5505180533790477	1.9272109357738447	0.13649326219749422	0.7892889192022775	1.1061744739156265	2.5542496257074183	0.6701430851956142	0.639390284245408	1.0487522584380609	1.5166146921772161	1.0919981749097618	1.9095671286459819	1.7171642771107967	0.6531375244328224	1.0925667221762976	0.5340854790996099	0.5114872716682327	0.6832066778792075	1.1253905263985808	1.1503652763517767	1.5248807733286733	1.1231719323532967	0.30865462070109506	0.6325141847996301	0.7096199263791504	0.9294512826646912	1.4002496730261116	1.4955295524307404	1.8911246201267502	0.8775518923100297	0.6878895166448682	0.9399555628958288	0.4053429719761717	0.6220422083842047	0.5539925348778666	1.3991780872081085	1.3999189041764808	1.3556000579556624	1.6044206998642958	1.589169918179256	0.15237129083554532	0.4771872063570189	0.8011744485675245	0.4521273836929245
ZAM1_s38_OZS	1.544622284948111	1.2817276555108106	0.2640024097948252	0.04193894409777615	2.6223384381884163	1.462321718541444	3.2236339567765087	2.9383176443243664	2.5075883235902294	1.5429734093245562	0.9538096168351338	0.10587155662171889	2.2145137261319654	0.02715911596841798	1.0277488919861066	0.0	1.2728087080898427	0.1697924751991787	0.20159661749223243	2.5429113725962726	3.1041309040202436	1.3693502701347928	2.9420233667937996	2.5129831904069433	2.8633818832475506	0.9424093212341552	0.23859546239956603	2.085343150596653	3.4912913320223313	0.3581596410337781	1.637623760028823	0.027289786068965035	2.493717064320656	2.032407463650828	2.8583499894875866	2.6858846595850188	0.3772778411289465	0.06499822973861206	1.534521967766784	1.5362689370492761	1.645327336314081	2.06863425509987	2.051970659255491	2.4537342412594882	2.033287014708025	0.8168311681101317	1.6410050643747893	1.6995439133829109	0.17895697217411868	2.3705989564762886	2.417703084865893	2.826636277696962	1.7711952929962387	0.3610306831840393	0.11506929214734207	1.372636241121845	1.6257192349455807	1.5499092775103085	2.3158184660603767	2.3394490710624067	2.323636316809262	2.5539908461874945	2.5620120611168784	0.8882555358147731	1.4568393311300318	1.7836173475398915	0.6025973902845587
ZAM1_s49_OZA	0.3237673234926653	0.0348332196309218	1.4656427772485023	1.2908677439580432	1.4240197392291922	0.32884217256877063	2.0519475316981994	1.7848292676822013	1.3308313403669565	0.3384840265562721	0.32034391838606335	1.1815922017674048	1.028080979399192	1.2886653689778034	0.24546826978704153	1.2728087080898427	0.0	1.1304137066799462	1.1482477428917204	1.3302411451475973	1.9358544299773084	0.5339292226837518	1.7926843475624952	1.3274885747558458	1.710787814104	0.3558210252202502	1.0344710463116515	0.8810956537110985	2.333973581155449	0.9154660249404523	0.4140713682362984	1.2939967961100312	1.2881123232318925	0.8862308526283535	1.6888009425998456	1.490472353901934	0.8973458244025844	1.3375609698821638	0.31228395468037495	0.2670960003500973	0.4829428194531349	0.9173435938607125	0.9613805140098189	1.3154976044196738	0.9311160166402693	0.5144694408095728	0.39930288621053084	0.4877647459000853	1.1741517571386153	1.1754809565680038	1.2892798537855046	1.675225460859241	0.7063567912718514	0.9294044011750142	1.1854109950802483	0.24223267761916342	0.3930080736330755	0.3352116493658034	1.1969252613065469	1.1880461624719032	1.1322827234845658	1.3859046666071488	1.3617959463919105	0.38847668397729324	0.2834206895483388	0.581085744373234	0.6944781383257409
ZAM1_s50_OZA	1.4147950216849707	1.1419430439388736	0.34261869219495694	0.2057369542621323	2.5054876585057375	1.3413179673257467	3.1147148641399367	2.832065224832256	2.394629834225426	1.415475199447075	0.8155101206836118	0.1487761761717679	2.097828343389095	0.17398109205603943	0.8850456326528438	0.1697924751991787	1.1304137066799462	0.0	0.0641469591193179	2.422523983094257	2.995534354516359	1.2764513426453434	2.8365995916983446	2.3983106973068207	2.7569653557586324	0.7902409759503192	0.12051640315847374	1.9642916024119788	3.3862172880149823	0.22203751145259146	1.5087282128777262	0.1808213931441826	2.3747142819247586	1.921035064679765	2.748541450938263	2.569929320339035	0.2587768661630776	0.23007663053575558	1.404317336869461	1.3963304412250273	1.5256614640023909	1.9568345544314905	1.9494125151096255	2.3475739479173954	1.9287394672059703	0.7052983445225768	1.5088431210707591	1.5734144671856547	0.06790383303746919	2.2531992090690234	2.3129750384985517	2.7202737859273904	1.6672566125871062	0.2724128779950376	0.05809700757029766	1.2482723663268782	1.4950878680253024	1.4210856456044305	2.211823584459427	2.2301004133799593	2.206719656052427	2.4429818363587836	2.4444892418920445	0.7531602591683724	1.331123108752989	1.66007281171872	0.44540994033352965
ZAM1_s51_OZA	1.4396476864403225	1.1615206098868744	0.31739718684820795	0.24198408155447543	2.535464293959854	1.3709921576942228	3.1478465523974912	2.8664770501839545	2.4264783735254234	1.4416078879689282	0.837655891578368	0.20633701717655434	2.1282670902173	0.19729357479386617	0.9037618894391943	0.20159661749223243	1.1482477428917204	0.0641469591193179	0.0	2.4508753969117	3.0288671288545115	1.3179933711939167	2.8713500621732373	2.4293825904458424	2.791356752188512	0.8019694514386573	0.17456357361883282	1.9927933226766301	3.420827438849738	0.2581112319442059	1.5338874583777053	0.2045508815176933	2.4037790207343255	1.9540914223070462	2.781504762771115	2.600273097305127	0.30201185822284754	0.25300608084156584	1.4289832837934264	1.4150683666879442	1.5555560933205406	1.9896568754398454	1.986098513274701	2.3823825498491797	1.9646564116703311	0.7424206832027617	1.5321536682514443	1.5999376100323273	0.027933318039562	2.2831400919497784	2.3484012187574645	2.7547117468164126	1.7038079882913766	0.3254482883119447	0.08999244513809143	1.2765151602869313	1.5193054758119684	1.4464811002018252	2.2476424726909534	2.2636791470061586	2.2369338932574876	2.475650250094811	2.4741994781114314	0.7777915484122733	1.3584218407704758	1.687779411583861	0.4558815937737695
ZAM1_s52_OZA	1.0157717588573045	1.3087129621224758	2.7648255865518454	2.551987290357511	0.10949466084167185	1.0814954218933714	0.7331611862787096	0.501772742063176	0.15190730574905692	1.0107966329080735	1.6173764084304902	2.4416693937617486	0.3341682453017917	2.5631104642171776	1.5609332561386444	2.5429113725962726	1.3302411451475973	2.422523983094257	2.4508753969117	0.0	0.6235702094549519	1.2206512743286433	0.5152858643993835	0.11829031227298266	0.43901506251480155	1.6844749344368557	2.3132949185965557	0.45823245532449913	1.0192800154445305	2.2006456138303423	0.92154688345819	2.567292355662606	0.056145469156360726	0.5311701056318486	0.391108289673691	0.17237017824556142	2.169835679187525	2.6048970978013974	1.0268889502962228	1.0734206812491256	0.8977139682175855	0.49504355470785083	0.5736680060686513	0.2868756215184185	0.5730281620477177	1.7261971604658815	0.9310938239858265	0.8523738506336622	2.4747474276475265	0.18078379538458972	0.3211152826361583	0.4117380300499485	0.8091478621478718	2.1823313040432883	2.4728911069089654	1.1744687833931886	0.9394199871134119	1.0075137177708402	0.3757417229043834	0.2889033228074583	0.22791454258013208	0.18868299754918877	0.06240590825648995	1.673866733140906	1.0925639224418517	0.7631852121164328	2.010422140141655
